Date,Day of the week,App (Use all CAPITALS),Minutes,Category
08/20,Sunday,TIKTOK,101,Entertainment
08/20,Sunday,MESSAGES,49,Other
08/20,Sunday,INSTAGRAM,40,Social Media
08/20,Sunday,SNAPCHAT,26,Social Media
08/20,Sunday,PHOTOS,14,Other
08/20,Sunday,SPOTIFY,5,Other
08/20,Sunday,SAFARI,4,Education
08/21,Monday,INSTAGRAM,74,Social Media
08/21,Monday,TIKTOK,74,Entertainment
08/21,Monday,MESSAGES,33,Other
08/21,Monday,SAFARI,32,Education
08/21,Monday,CALCULATOR,26,Other
08/21,Monday,NETFLIX,19,Entertainment
08/22,Tuesday,TIKTOK,305,Entertainment
08/22,Tuesday,INSTAGRAM,63,Social Media
08/22,Tuesday,MESSAGES,57,Other
08/22,Tuesday,SAFARI,22,Education
08/22,Tuesday,SPOTIFY,7,Other
08/22,Tuesday,CANVAS,6,Education
08/22,Tuesday,SNAPCHAT,6,Social Media
08/23,Wednesday,TIKTOK,74,Entertainment
08/23,Wednesday,MESSAGES,56,Other
08/23,Wednesday,INSTAGRAM,51,Social Media
08/23,Wednesday,SAFARI,26,Education
08/23,Wednesday,PHOTOS,14,Other
08/23,Wednesday,SNAPCHAT,9,Social Media
08/24,Thursday,TIKTOK,287,Entertainment
08/24,Thursday,MESSAGES,58,Other
08/24,Thursday,INSTAGRAM,56,Social Media
08/24,Thursday,GOOGLE MAPS,16,Travel
08/24,Thursday,YOUTUBE,15,Entertainment
08/24,Thursday,SAFARI,11,Education
08/24,Thursday,SPOTIFY,7,Other
08/25,Friday,TIKTOK,182,Entertainment
08/25,Friday,INSTAGRAM,66,Social Media
08/25,Friday,SAFARI,40,Education
08/25,Friday,MESSAGES,29,Other
08/26,Saturday,TIKTOK,348,Entertainment
08/26,Saturday,INSTAGRAM,60,Social Media
08/26,Saturday,FIND MY,10,Travel
08/26,Saturday,MESSAGES,9,Other
08/27,Sunday,TIKTOK,217,Entertainment
08/27,Sunday,INSTAGRAM,42,Social Media
08/27,Sunday,CALCULATOR,34,Education
08/27,Sunday,SAFARI,34,Education
08/27,Sunday,MESSAGES,19,Other
08/27,Sunday,SNAPCHAT,16,Social Media